ID,OutlineNumber,Name,Level,Duration,Start,Finish,Predecessors
142,4.2.2,Testy odporności na ataki (np. SQL Injection),3,1d,,,
143,4.2.3,Weryfikacja zgodności z RODO,3,1d,,,
144,4.2.4,Testy bezpieczeństwa płatności,4,1d,,,
145,4.3,Testy akceptacyjne,2,1d,,,
146,4.3.1,Weryfikacja zgodności z wymaganiami biznesowymi,3,1d,,,
147,4.3.2,Testy z udziałem grupy testowej (feedback użytkowników),3,1d,,,
148,5,Wdrażanie,1,1d,,,
149,5.1,Przygotowanie środowiska produkcyjnego,2,1d,,,
150,5.1.1,Konfiguracja serwerów,3,1d,,,
151,5.1.1.1,Ustawienie serwerów w chmurze,4,1d,,,
152,5.1.1.2,Instalacja systemów operacyjnych,4,1d,,,
153,5.1.1.3,Konfiguracja Dockera,4,1d,,,
154,5.1.2,Wdrożenie bazy danych,3,1d,,,
155,5.1.2.1,Ustawienie bazy danych,4,1d,,,
156,5.1.2.2,Konfiguracja środowiska bazy danych,4,1d,,,
157,5.1.2.3,Instalacja oprogramowania i bibliotek,4,1d,,,
158,5.1.3,Zabezpieczenia środowiska,3,1d,,,
159,5.1.3.1,Konfiguracja szyfrowania bazy danych,4,1d,,,
160,5.1.3.2,Konfiguracja dostępu,4,1d,,,
161,5.1.3.3,Wdrożenie alertów dotyczących bezpieczeństwa,4,1d,,,
162,5.2,Migracja danych,2,1d,,,
163,5.2.1,Import danych testowych,3,1d,,,
164,5.2.1.1,Weryfikacja integralności danych,4,1d,,,
165,5.2.2,Automatyczny backup,3,1d,,,
166,5.2.2.1,Test przywrócenia automatycznego backupu,5,1d,,,
167,5.3,Wdrożenie aplikacji,2,1d,,,
168,5.3.1,Przeniesienie aplikacji na serwer produkcyjny,3,1d,,,
169,5.3.1.1,Autostart środowiska,4,1d,,,
170,5.3.1.2,Audyt pusha pod zawartość kluczy api,4,1d,,,
171,5.3.1.1,Weryfikacja uprawnień,4,1d,,,
172,5.3.2,Weryfikacja połączeń API,3,1d,,,
173,5.4,Szkolenie użytkowników i wsparcie techniczne,2,1d,,,
174,5.4.1,Przygotowanie dokumentacji użytkownika,3,1d,,,
175,5.4.2,Szkolenie zespołu wsparcia technicznego,3,1d,,,
176,5.4.3,Uruchomienie kanałów wsparcia dla użytkowników końcowych,3,1d,,,
177,6,MARKETING,1,1d,,,
178,6.1,Strategie marketingowe,2,1d,,,
179,6.1.1,Analiza rynku i konkurencji,3,1d,,,
180,6.1.1.1,Badanie potrzeb klientów,4,1d,,,
181,6.1.1.2,Analiza konkurencyjnych produktów/usług,4,1d,,,
182,6.1.2,Planowanie kampanii reklamowych,3,1d,,,
183,6.1.2.1,Wyznaczenie celów kampanii,4,1d,,,
184,6.1.2.2,Wybór kanałów marketingowych,4,1d,,,
185,6.1.2.3,Opracowanie harmonogramu działań,4,1d,,,
186,6.1.3,Budżetowanie marketingowe,3,1d,,,
187,6.1.3.1,Przydzielenie środków na działania promocyjne,4,1d,,,
188,6.1.3.2,Monitorowanie wykorzystania budżetu,4,1d,,,
189,6.2,Kampanie promocyjne,2,1d,,,
190,6.2.1,Tworzenie materiałów,3,1d,,,
191,6.2.1.1,Projektowanie materiałów wizualnych,4,1d,,,
192,6.2.1.2,Przygotowanie treści tekstowych,4,1d,,,
193,6.2.2,Realizacja kampanii,3,1d,,,
194,6.2.2.1,Publikacja w social media,4,1d,,,
195,6.2.2.2,E-mail marketing,4,1d,,,
196,6.2.2.3,Płatne kampanie reklamowe,4,1d,,,
197,6.2.2.4,Monitorowanie wyników i optymalizacja,4,1d,,,
198,7,EKSPLOATACJA,1,1d,,,
199,7.1,Zarządzanie systemem,2,1d,,,
200,7.1.1,Utrzymanie infrastruktury,3,1d,,,
201,7.1.1.1,Monitoring działania systemu,4,1d,,,
202,7.1.1.2,Instalowanie aktualizacji i łatek,4,1d,,,
203,7.1.2,Automatyzacja procesów,3,1d,,,
204,7.1.2.1,Konfiguracja automatycznych kopii zapasowych,4,1d,,,
205,7.1.2.2,Usprawnianie procesów operacyjnych,4,1d,,,
206,7.1.3,Zarządzanie dostępem,3,1d,,,
207,7.1.3.1,Tworzenie kont użytkowników,4,1d,,,
208,7.1.3.2,Zarządzanie uprawnieniami i rolami,4,1d,,,
209,,*7.1.4.* *Opłaty cykliczne*,4,1d,,,
210,7.1.4.1,Opłaty za Serwery/Chmury,4,1d,,,
211,7.1.4.2,Opłaty za licencje,4,1d,,,
212,7.2,Obsługa użytkownika,2,1d,,,
213,7.2.1,Wsparcie techniczne,3,1d,,,
214,7.2.1.1,Rozwiązywanie problemów zgłaszanych przez użytkowników,4,1d,,,
215,7.2.1.2,Udzielanie informacji i szkoleń,4,1d,,,
216,7.2.2,Obsługa zgłoszeń,3,1d,,,
217,7.2.2.1,Rejestracja zgłoszeń serwisowych,4,1d,,,
218,7.2.2.2,Zarządzanie reklamacjami,4,1d,,,
219,7.2.3,Dokumentacja,3,1d,,,
220,7.2.3.1,Aktualizacja instrukcji użytkownika,4,1d,,,
221,7.2.3.2,Publikacja FAQ na stronie pomocy,4,1d,,,
222,7.3,Bezpieczeństwo operacyjne,2,1d,,,
223,7.3.1,Monitorowanie zagrożeń,3,1d,,,
224,7.3.1.1,Analiza logów systemowych,4,1d,,,
225,7.3.1.2,Identyfikacja potencjalnych zagrożeń,4,1d,,,
226,7.3.2,Zabezpieczenia systemu,3,1d,,,
227,7.3.2.1,Implementacja narzędzi ochronnych,4,1d,,,
228,7.3.2.2,Aktualizacja polityki bezpieczeństwa,4,1d,,,
